基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,加美南４丁目,,女,0,419,0,2,2,2,0,2,5,3,2,3,2,2,4,2,5,1,2,4,4,6,5,1,5,3,2,6,5,4,1,7,4,2,5,3,4,6,5,5,1,4,2,3,4,8,2,5,5,8,12,8,8,4,6,7,4,8,7,5,6,13,2,6,5,3,2,5,7,4,10,9,2,8,6,3,7,2,5,6,8,9,4,5,4,6,7,3,2,3,2,4,1,4,1,1,1,1,3,0,2,0,0,0,0
2020/3/31,加美南４丁目,,計,412,796,0,4,2,4,1,4,6,4,8,5,3,4,6,6,7,9,6,6,9,11,9,3,11,5,9,10,11,7,5,14,7,4,7,5,8,19,14,10,2,5,8,9,6,10,7,11,11,14,22,14,21,10,8,14,8,15,19,10,10,16,10,13,8,5,6,7,13,7,16,13,5,19,13,6,16,7,11,9,11,13,7,7,5,7,10,5,3,5,3,5,2,5,2,1,1,2,3,0,2,0,0,0,0
2020/3/31,加美南５丁目,,男,0,372,0,3,2,0,0,2,0,0,3,0,1,2,0,3,2,5,4,6,4,2,7,5,3,2,5,1,10,5,3,6,8,4,1,8,4,2,4,3,3,3,3,4,1,5,5,7,3,6,2,9,7,5,9,9,3,10,7,3,5,4,5,8,3,2,7,7,7,2,5,5,6,8,9,6,6,3,3,5,7,4,3,5,2,6,2,3,1,1,2,1,0,1,0,4,0,0,0,0,0,0,0,0,0
2020/3/31,加美南５丁目,,女,0,384,0,2,1,2,0,2,1,2,2,1,2,1,1,1,0,2,2,3,4,4,5,7,7,7,5,5,4,5,7,3,3,3,2,3,2,5,2,2,1,1,4,5,9,4,5,5,5,3,6,5,8,3,8,7,9,8,3,7,4,4,7,2,4,6,5,2,10,3,6,2,4,9,6,10,6,5,6,5,12,7,4,4,4,3,2,4,2,4,4,3,1,1,2,0,0,1,4,0,0,0,0,0,0
2020/3/31,加美南５丁目,,計,409,756,0,5,3,2,0,4,1,2,5,1,3,3,1,4,2,7,6,9,8,6,12,12,10,9,10,6,14,10,10,9,11,7,3,11,6,7,6,5,4,4,7,9,10,9,10,12,8,9,8,14,15,8,17,16,12,18,10,10,9,8,12,10,7,8,12,9,17,5,11,7,10,17,15,16,12,8,9,10,19,11,7,9,6,9,4,7,3,5,6,4,1,2,2,4,0,1,4,0,0,0,0,0,0
2020/3/31,長吉出戸１丁目,,男,0,730,0,5,7,3,10,4,8,3,6,3,3,6,5,6,6,6,6,5,8,8,9,9,11,11,6,8,3,7,13,7,12,7,4,6,6,3,8,15,13,7,6,6,9,4,11,10,7,11,10,7,13,11,9,13,17,13,9,14,10,10,12,10,12,8,11,9,9,15,8,10,8,12,11,13,8,7,7,14,6,12,12,9,4,6,3,3,4,1,2,2,0,3,1,4,1,0,0,0,0,0,0,0,0
2020/3/31,長吉出戸１丁目,,女,0,835,0,7,2,6,4,9,10,9,8,7,4,4,6,7,7,5,4,6,6,5,4,3,8,7,6,9,9,9,6,7,10,5,7,3,6,7,8,13,7,6,8,3,11,10,14,6,4,10,10,13,17,11,14,16,13,15,11,12,18,9,15,9,11,18,13,13,7,11,19,11,15,13,11,15,17,11,13,14,14,12,7,5,5,8,11,13,9,5,3,6,4,7,2,0,1,1,3,0,1,0,0,1,0
2020/3/31,長吉出戸１丁目,,計,751,1565,0,12,9,9,14,13,18,12,14,10,7,10,11,13,13,11,10,11,14,13,13,12,19,18,12,17,12,16,19,14,22,12,11,9,12,10,16,28,20,13,14,9,20,14,25,16,11,21,20,20,30,22,23,29,30,28,20,26,28,19,27,19,23,26,24,22,16,26,27,21,23,25,22,28,25,18,20,28,20,24,19,14,9,14,14,16,13,6,5,8,4,10,3,4,2,1,3,0,1,0,0,1,0
2020/3/31,長吉出戸２丁目,,男,0,1183,0,6,8,5,7,8,9,7,13,10,13,16,14,6,12,14,13,12,22,14,22,19,19,17,10,12,9,14,9,12,8,6,10,14,14,10,14,17,8,11,10,17,14,13,13,12,15,13,12,29,21,22,16,29,23,21,25,18,18,18,17,17,14,13,9,17,8,23,19,10,17,12,10,16,10,10,11,10,11,13,14,13,8,11,11,4,5,4,2,6,3,6,1,3,1,0,0,1,0,0,0,0,0
2020/3/31,長吉出戸２丁目,,女,0,1417,0,7,10,9,12,11,12,3,7,8,8,8,8,12,12,14,13,14,14,25,11,15,15,13,12,14,14,10,12,17,11,22,15,18,15,6,11,18,6,10,14,11,16,19,14,21,12,19,21,27,34,35,21,34,14,26,28,29,23,14,16,17,25,14,16,9,17,12,13,13,16,27,16,15,20,11,13,24,13,10,17,15,21,21,16,14,23,12,10,8,9,5,5,7,5,3,2,1,1,0,1,0,0
