基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2011/3/31,平野馬場１丁目,,男,,269,,12,10,10,9,4,4,3,1,1,,3,3,1,2,2,4,1,,2,3,3,2,1,3,6,6,11,6,10,13,6,7,9,3,7,7,6,2,3,1,4,2,3,1,,2,,1,1,4,2,5,5,3,2,4,,2,1,3,2,4,2,3,1,2,3,2,1,1,2,2,1,1,1,,1,3,1,,1,,,1,,1,1,,,,,,,,,,,,,,,
2011/3/31,平野馬場１丁目,,女,,230,,9,8,4,5,,4,1,1,,2,1,,2,1,1,2,,1,2,2,2,1,4,3,5,9,8,5,14,13,8,8,5,8,2,,6,1,,6,2,3,,4,1,,,2,2,3,3,4,5,1,3,,2,,1,1,3,3,,2,3,2,,,1,3,1,2,,1,1,3,1,2,1,1,,1,1,2,1,2,1,,,,,,,1,,,,,,,,
2011/3/31,平野馬場１丁目,,計,205,499,,21,18,14,14,4,8,4,2,1,2,4,3,3,3,3,6,1,1,4,5,5,3,5,6,11,15,19,11,24,26,14,15,14,11,9,7,12,3,3,7,6,5,3,5,1,2,,3,3,7,5,9,10,4,5,4,2,2,2,4,5,7,2,5,4,4,3,2,2,4,3,4,1,2,2,3,2,5,2,1,1,1,1,3,1,3,2,,,,,,,1,,,,,,,,
2011/3/31,平野馬場２丁目,,男,,276,,3,5,3,1,1,,2,,1,2,3,,2,2,2,2,2,2,2,2,3,2,7,1,4,3,1,2,6,2,5,4,7,4,8,5,5,5,3,7,1,4,11,8,3,4,2,8,7,2,2,4,1,4,1,8,1,1,2,2,4,9,4,5,8,2,3,3,2,4,5,4,2,4,3,4,2,3,2,,,1,,,2,,1,,,1,1,,,,,,,,,,,
2011/3/31,平野馬場２丁目,,女,,291,,3,4,2,1,4,1,2,2,2,1,2,1,2,2,2,1,1,1,1,3,3,3,7,4,7,6,4,9,4,2,1,4,3,5,3,6,2,7,7,7,5,2,6,4,2,4,2,,1,4,1,6,3,2,5,1,2,3,3,3,1,8,9,10,3,2,5,3,2,4,2,3,6,5,2,9,3,1,5,2,,4,1,1,1,2,1,2,,1,,,,1,1,,,,,,,
2011/3/31,平野馬場２丁目,,計,298,567,,6,9,5,2,5,1,4,2,3,3,5,1,4,4,4,3,3,3,3,5,6,5,14,5,11,9,5,11,10,4,6,8,10,9,11,11,7,12,10,14,6,6,17,12,5,8,4,8,8,6,3,10,4,6,6,9,3,4,5,5,5,17,13,15,11,4,8,6,4,8,7,7,8,9,5,13,5,4,7,2,,5,1,1,3,2,2,2,,2,1,,,1,1,,,,,,,
2011/3/31,平野北１丁目,,男,,508,,2,5,5,4,5,4,3,3,2,2,4,5,7,6,4,6,5,2,5,,4,1,8,6,3,8,4,8,5,7,12,9,10,10,8,12,11,7,10,10,17,8,9,6,6,7,8,6,6,6,6,6,9,6,3,6,6,5,4,5,2,6,14,10,7,9,3,9,10,8,7,5,3,4,8,7,3,4,1,4,4,4,,2,,1,3,1,2,,,,,,,,,,,,,
2011/3/31,平野北１丁目,,女,,558,,9,8,2,6,2,5,6,5,4,2,2,5,2,4,1,3,3,3,2,7,7,6,4,7,9,6,4,5,7,5,15,13,7,4,10,9,6,19,14,8,5,10,7,4,9,8,6,8,5,7,8,5,5,5,6,6,2,2,5,8,9,10,8,9,14,8,10,11,9,7,9,4,8,8,5,4,7,5,5,6,2,4,2,4,4,2,3,,4,1,2,,2,2,,,2,1,,,,
2011/3/31,平野北１丁目,,計,519,1066,,11,13,7,10,7,9,9,8,6,4,6,10,9,10,5,9,8,5,7,7,11,7,12,13,12,14,8,13,12,12,27,22,17,14,18,21,17,26,24,18,22,18,16,10,15,15,14,14,11,13,14,11,14,11,9,12,8,7,9,13,11,16,22,19,21,17,13,20,19,15,16,9,11,12,13,11,10,9,6,10,6,8,2,6,4,3,6,1,6,1,2,,2,2,,,2,1,,,,
2011/3/31,平野北２丁目,,男,,398,,6,2,6,3,5,4,4,1,8,5,4,6,6,2,7,2,5,7,6,6,4,2,3,3,2,2,6,7,2,5,6,6,10,14,6,9,4,6,8,9,8,2,7,7,3,4,3,11,4,2,6,4,2,3,5,3,4,3,3,5,5,12,5,15,6,3,1,3,4,2,5,3,3,2,4,4,1,2,7,1,3,2,3,1,1,1,,,,,1,,,,,,,,,,,
2011/3/31,平野北２丁目,,女,,435,,6,3,9,2,7,1,5,5,6,4,5,7,2,2,1,5,6,3,1,3,3,5,3,4,2,4,3,8,13,4,4,6,10,8,5,6,10,9,7,4,8,5,6,4,6,10,5,5,4,10,4,2,6,3,4,1,5,4,3,5,2,6,4,11,11,1,5,6,6,6,3,8,4,5,5,7,6,3,5,2,4,2,2,2,2,1,2,3,3,1,,2,2,,1,,,,,1,,
2011/3/31,平野北２丁目,,計,362,833,,12,5,15,5,12,5,9,6,14,9,9,13,8,4,8,7,11,10,7,9,7,7,6,7,4,6,9,15,15,9,10,12,20,22,11,15,14,15,15,13,16,7,13,11,9,14,8,16,8,12,10,6,8,6,9,4,9,7,6,10,7,18,9,26,17,4,6,9,10,8,8,11,7,7,9,11,7,5,12,3,7,4,5,3,3,2,2,3,3,1,1,2,2,,1,,,,,1,,
