"NO","営業所名称","営業の種類","区","営業所所在地","緯度","経度","営業者名","許可番号","許可満了日","申請区分"
90018909,"カサブランカクラブ　長吉出戸店","飲食店営業","平野","長吉出戸４丁目５番３８号",34.609387,135.566922,"有限会社七手","大 保食第19-15535号","令和8年1月31日","新規"
25190148,"本家かまどや　出戸駅前店","飲食店営業","平野","長吉出戸４丁目５番５３号",34.61029,135.56678,"仲村　高志","大 保食第19-10924号","令和7年10月31日","更新"
25240021,"ソーシャルコート平野内厨房","飲食店営業","平野","長吉出戸５丁目２番２４号",34.60884,135.56943,"株式会社　ジャパン　メディカルフード","大 保食第18-3001号","令和6年5月31日","更新"
25210102,"すき家　長吉出戸店","飲食店営業","平野","長吉出戸５丁目３番６２号",34.609151,135.570016,"株式会社　関西すき家","大　保環第10740号","令和3年9月30日",NA
25260114,"焼肉　味千里","飲食店営業","平野","長吉出戸５丁目３番６９号",34.60869,135.568869,"永田　勝久","大　保環第7439号","令和2年7月31日",NA
25170376,"宅配クック　ワン・ツゥー・スリー　あべのプラス店","飲食店営業","平野","長吉出戸５丁目４番５号",34.611562,135.570828,"株式会社ＺＥＮＮＯコム","大 保食第18-427号","令和6年3月31日","更新"
25260149,"居酒屋　どんぐり","飲食店営業","平野","長吉出戸６丁目１番２４号",34.611126,135.57145,"宮﨑　亜紀子","大　保環第11387号","令和2年10月31日",NA
90010944,"くら寿司長吉出戸店","飲食店営業","平野","長吉出戸６丁目１４番３２号",34.60829,135.571969,"くら寿司株式会社","大 保食第18-16687号","令和7年2月28日","新規"
25280108,"テンイチ平野店","飲食店営業","平野","長吉出戸６丁目１４番４０号",34.60836,135.571044,"株式会社ジャパンビバレッジホールディングス","大　保環第10773号","令和3年9月30日",NA
25260046,"秘密基地　食家","飲食店営業","平野","長吉出戸６丁目１４番４７号",34.608529,135.57068,"有限会社　ネオ・ドリーム","大　保環第4000号","令和2年5月31日",NA
90006958,"インド料理　ハーブスパイスキッチン","飲食店営業","平野","長吉出戸６丁目１４番４７号",34.608529,135.57068,"トゥラダル　プラカシュ","大 保食第18-7457号","令和6年8月31日","新規"
90011625,"インド料理ハーブスパイスキッチン","飲食店営業","平野","長吉出戸６丁目１４番４７号",34.608529,135.57068,"合同会社ヒマラヤンハーブ＆スパイス","大 保食第18-17676号","令和7年3月31日","新規"
25200176,"絆","飲食店営業","平野","長吉出戸６丁目１５番３１号",34.607918,135.572449,"泉　薫","大　保環第16646号","令和2年10月31日",NA
25002205,"炉中兼　鳥舞台","飲食店営業","平野","長吉出戸６丁目１５番３３号",34.607937,135.572332,"蔭山　一彦","大　保環第11934号","令和2年9月30日",NA
25002215,"香の川製麺　長吉店","飲食店営業","平野","長吉出戸７丁目２番６７号",34.613948,135.574974,"株式会社　フレンドリー","大　保環第2772号","令和2年4月30日",NA
