"NO","営業所名称","営業の種類","区","営業所所在地","緯度","経度","営業者名","許可番号","許可満了日","申請区分"
25002060,"旺記","飲食店営業","平野","長吉六反２丁目６番１０号",34.606415,135.57976,"岡山　和仁","大　保環第7341号","令和2年7月31日",NA
25002062,"ほっぷ　すてっぷ　じゃんぷ","飲食店営業","平野","長吉六反２丁目６番１０号",34.606415,135.57976,"木蜜　英雄","大　保環第8497号","令和2年7月31日",NA
25110017,"長吉アローム","飲食店営業","平野","長吉六反２丁目６番１０号",34.606415,135.57976,"小林　忠秋","大　保環第5621号","令和5年6月30日",NA
90006965,"カーマンライン","飲食店営業","平野","長吉六反２丁目６番１０号",34.606415,135.57976,"前谷　望美","大 保食第18-7383号","令和6年8月31日","新規"
25110205,"ル・マージュ","飲食店営業","平野","長吉六反２丁目６番２４号",34.605971,135.580366,"角田　儀光","大 保食第17-2706号","令和5年11月30日","更新"
25140195,"サンコ－長吉店鶏肉部","飲食店営業","平野","長吉六反２丁目６番２６号",34.60619,135.580268,"有限会社　サンコーフーズ","大　保環第15406号","令和2年11月30日","更新"
25220227,"七海水産　旬海","飲食店営業","平野","長吉六反２丁目６番２６号",34.60619,135.580268,"七海水産株式会社","大　保環第22772号","令和5年3月31日",NA
25220308,"スーパーサンコー長吉店　寿司部","飲食店営業","平野","長吉六反２丁目６番２６号",34.60619,135.580268,"株式会社ネクサスフーズ","大　保環第18984号","令和5年1月31日",NA
25280023,"スーパーサンコー長吉店惣菜部","飲食店営業","平野","長吉六反２丁目６番２６号",34.60619,135.580268,"株式会社　三豊","大　保環第3550号","令和4年5月31日",NA
25002007,"大幸","飲食店営業","平野","長吉六反２丁目６番３０号",34.606082,135.579749,"岡本　幸雄","大　保環第4986号","令和5年6月30日",NA
25110090,"季節一品料理　ふじ","飲食店営業","平野","長吉六反２丁目６番３０号",34.606082,135.579749,"藤田　康信","大　保環第11601号","令和5年9月30日",NA
25070163,"いぬい","喫茶店営業","平野","長吉六反２丁目７番１７号",34.60601,135.580721,"乾　芳博","大　保環第12783号","令和5年9月30日",NA
25150284,"喫茶　より道","飲食店営業","平野","長吉六反２丁目１１番１２号",34.607238,135.582379,"井　寿美子","大　保環第17656号","令和4年1月31日",NA
25003004,"喫茶ナビオ","飲食店営業","平野","長吉六反３丁目１番３号",34.605679,135.577866,"小野塚　勝美","大　保環第1160号","令和4年3月31日",NA
25120237,"スーパーナショナル　長吉店","飲食店営業","平野","長吉六反３丁目１番６号",34.605651,135.578216,"株式会社　スーパーナショナル","大　保環第14547号","令和2年11月30日",NA
25002030,"軽食喫茶　いづみ","飲食店営業","平野","長吉六反３丁目５番５０号",34.604432,135.579491,"山田　孝枝","大　保環第17655号","令和3年12月27日",NA
25230018,"大阪王","飲食店営業","平野","長吉六反３丁目９番１６号",34.602775,135.579813,"藤田　操","大　保環第1655号","令和5年4月30日",NA
25002073,"エアポート","飲食店営業","平野","長吉六反３丁目１０番１６号",34.602272,135.58071,"野田　敏昭","大　保環第3542号","令和4年4月30日",NA
25230176,"まこと","飲食店営業","平野","長吉六反３丁目１５番１０号",34.604146,135.58224,"越田　誠吾","大　保環第12782号","令和5年9月30日",NA
25260068,"夫～婦～","飲食店営業","平野","長吉六反３丁目１７番２５号",34.604982,135.582007,"林　智穂","大　保環第5319号","令和2年6月30日",NA
25002011,"呑み処　ひろたや","飲食店営業","平野","長吉六反３丁目１８番５号",34.605371,135.582815,"廣田　満喜雄","大 保食第18-7540号","令和6年7月31日","更新"
25002011,"ピリカ","飲食店営業","平野","長吉六反３丁目１８番５号",34.605371,135.582815,"廣田　満喜雄","大　保環第3541号","令和4年4月30日",NA
25260053,"カラオケ　ＳＮＡＣＫ　Ｍ","飲食店営業","平野","長吉六反３丁目１８番１１号",34.605276,135.583063,"前畠　侑加","大　保環第4474号","令和2年5月31日",NA
25270205,"スナック　すずらん","飲食店営業","平野","長吉六反３丁目１８番１１号",34.605276,135.583063,"佐藤　幸江","大　保環第1705号","令和4年4月30日",NA
25140294,"風林火山","飲食店営業","平野","長吉六反３丁目１８番１２号",34.605096,135.582918,"横田　千鶴美","大　保環第480号","令和3年3月31日",NA
25290085,"やさしいキッチン　Ａ＆Ａ工房","飲食店営業","平野","長吉六反３丁目１８番１２号",34.605096,135.582918,"神﨑　あつ子","大　保環第7876号","令和5年7月31日",NA
25160273,"りんりん","飲食店営業","平野","長吉六反３丁目２０番３号",34.604215,135.582777,"山本　カツ子","大　保環第19528号","令和5年1月31日",NA
25220301,"ローソン長吉六反三丁目","飲食店営業","平野","長吉六反３丁目２０番９号",34.604007,135.583015,"株式会社　ティオコーポレーション","大　保環第17896号","令和5年1月31日",NA
25002052,"カラオケ河洲","飲食店営業","平野","長吉六反３丁目２１番１２号",34.603293,135.583143,"益田　義正","大 保食第17-1132号","令和5年10月31日","更新"
25230083,"ガレ","飲食店営業","平野","長吉六反３丁目２１番１３号",34.603343,135.583104,"石津　まり子","大　保環第8294号","令和5年7月31日",NA
25280107,"Ｃａｆ　Ｃｏｎｓｏｌａｔａ","飲食店営業","平野","長吉六反３丁目２１番１３号",34.603343,135.583104,"五島　友希","大　保環第10158号","令和4年8月31日",NA
90009821,"立ち呑み　らんらん","飲食店営業","平野","長吉六反３丁目２１番１３号",34.603343,135.583104,"木下　多美子","大 保食第18-14068号","令和6年12月27日","新規"
25170302,"スナック　真澄","飲食店営業","平野","長吉六反３丁目２１番１６号",34.602877,135.583116,"杉本　京子","大 保食第18-1340号","令和6年4月30日","新規"
25160263,"お好焼　ひぐち","飲食店営業","平野","長吉六反３丁目２１番２７号",34.603127,135.582546,"樋口　操","大　保環第16635号","令和4年12月27日",NA
90013694,"Ｓｐｏｒｔｓ　Ｂａｒ　ｋｏｔｏｂｕｋｉ","飲食店営業","平野","長吉六反３丁目２１番２７号",34.603127,135.582546,"鈴木　寿","大 保食第19-4552号","令和7年6月30日","新規"
25002079,"ピンポン","飲食店営業","平野","長吉六反４丁目３番５８号",34.609688,135.582532,"佐藤　美江子","大　保環第15780号","令和4年9月30日",NA
25200098,"居酒屋・カラオケ結友","飲食店営業","平野","長吉六反４丁目４番３号",34.608368,135.58291,"本庄　幸子","大　保環第8498号","令和2年7月31日",NA
25220349,"株式会社　花千本","飲食店営業","平野","長吉六反４丁目４番２０号",34.60794,135.583543,"株式会社　花千本","大　保環第1145号","令和5年3月31日",NA
25140328,"和風料理　ひろ乃","飲食店営業","平野","長吉六反４丁目７番１号",34.607735,135.58492,"穴吹　弘三","大　保環第955号","令和3年3月31日",NA
25280223,"ローソン　長吉六反四丁目店","飲食店営業","平野","長吉六反４丁目８番７１号",34.608107,135.584881,"株式会社　ティオコーポレーション","大　保環第21008号","令和5年2月28日",NA
25180281,"きまま。","飲食店営業","平野","長吉六反５丁目１番３９号",34.605963,135.583988,"長尾　美恵子","大 保食第19-2238号","令和7年3月31日","更新"
25140169,"青果店","飲食店営業","平野","長吉六反５丁目６番３５号",34.604979,135.583649,"宮阪　実","大　保環第12058号","令和2年9月30日",NA
25002046,"友情","飲食店営業","平野","長吉六反５丁目６番３６号",34.605015,135.583563,"平岡　和子","大　保環第17850号","令和3年1月31日",NA
25160069,"串かつ　あきら","飲食店営業","平野","長吉六反５丁目６番３７号",34.605018,135.583463,"竹村　旭","大　保環第10979号","令和4年8月31日",NA
25290151,"いっこん","飲食店営業","平野","長吉六反５丁目９番６号",34.604774,135.583843,"毛利　正稔","大　保環第13392号","令和5年10月31日",NA
25220233,"演歌道","飲食店営業","平野","長吉六反５丁目９番２８号",34.604132,135.583307,"加島　春美","大　保環第16636号","令和4年11月30日",NA
25070390,"喫茶＆スナック　ピーシーズ","飲食店営業","平野","長吉六反５丁目９番２９号",34.604168,135.58331,"三前　加代子","大 保食第19-16894号","令和8年2月28日","更新"
25290032,"ほっかほっか亭　長吉六反店","飲食店営業","平野","長吉六反５丁目９番３０号",34.604268,135.583296,"伊賀　昭政","大　保環第3867号","令和5年5月31日","新規"
90017262,"カラオケスタジオ　つばめ","飲食店営業","平野","長吉出戸６丁目１４番２９号",34.60793878,135.5722252,"畦地　直美","大 保食第19-10923号","2025/10/31 0:00","新規"
90018766,"ＳＵＮちょうで～","飲食店営業","平野","長吉出戸７丁目３番３７号",34.61188478,135.5761805,"榮　友美子","大 保食第19-14637号","2026/1/31 0:00","新規"
90016904,"かさね凜生館","飲食店営業","平野","長吉出戸７丁目８番５号",34.61171794,135.5754344,"シップヘルスケアフード株式会社","大 保食第19-11303号","2025/10/31 0:00","新規"
90016296,"神社カフェ","飲食店営業","平野","長吉長原２丁目８番２３号",34.60389486,135.5706524,"鈴木　兼恵","大 保食第19-9264号","2025/9/30 0:00","新規"
90019032,"Ｎｏｕｒｉｓｈ。","飲食店営業","平野","長吉長原２丁目１１番２４号",34.60460061,135.5715012,"楠田　寛子","大 保食第19-15533号","2026/1/31 0:00","新規"
90015020,"すし　一喜","飲食店営業","平野","長吉長原４丁目１８番４１号",34.60179982,135.5727027,"宮口　紘一","大 保食第19-7869号","2025/8/31 0:00","新規"
90019063,"セブン－イレブン　大阪長吉六反一丁目店","飲食店営業","平野","長吉六反１丁目１番７号",34.611752,135.578638,"山本　幸一","大 保食第19-15541号","2026/1/31 0:00","新規"
90013291,"ケアホーム長吉","飲食店営業","平野","長吉六反２丁目１１番４３号",34.60738597,135.5813431,"株式会社ニチダン","大 保食第19-3535号","2025/5/31 0:00","新規"
