基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2011/3/31,恵美須西３丁目,,計,2217,2869,,7,11,7,7,15,5,11,12,12,21,16,7,14,16,20,19,17,11,15,17,20,23,24,31,35,25,41,30,40,37,33,37,38,22,29,24,46,40,37,39,37,35,44,29,32,33,45,41,35,36,20,39,31,29,36,36,41,51,47,49,60,69,75,82,46,49,68,63,65,58,53,48,49,55,45,47,45,36,43,26,28,21,19,13,17,9,5,3,5,3,2,1,1,3,,,,,,,,
2011/3/31,難波中１丁目,,男,,124,,,,,1,,,,,,1,,,,,,,,2,,,1,,2,,1,2,2,1,3,3,,3,1,4,5,6,1,3,5,,3,,2,,,3,5,2,2,2,3,,1,,1,1,3,6,1,,2,4,3,4,1,1,3,1,1,,1,2,,3,1,,2,,,1,2,3,,,1,,2,,1,1,,1,,1,,,,,,,,
2011/3/31,難波中１丁目,,女,,102,,,,,1,,,,1,,1,,,,1,,,,,,1,1,,1,2,4,1,,5,3,1,,1,2,1,1,1,1,1,3,,1,1,,,3,,1,1,1,,2,1,1,,1,1,,,1,1,1,1,3,4,3,1,1,1,1,1,1,1,2,4,1,1,4,3,5,2,,2,1,,2,2,1,,,,,1,,,,2,,,,,,
2011/3/31,難波中１丁目,,計,156,226,,,,,2,,,,1,,2,,,,1,,,,2,,1,2,,3,2,5,3,2,6,6,4,,4,3,5,6,7,2,4,8,,4,1,2,,3,3,6,3,3,2,5,1,2,,2,2,3,6,2,1,3,5,6,8,4,2,4,2,2,1,2,3,2,7,2,1,6,3,5,3,2,5,1,,3,2,3,,1,1,,2,,1,,2,,,,,,
2011/3/31,難波中２丁目,,男,,354,,6,5,3,1,2,,2,3,3,,1,,2,1,1,,1,1,2,,2,,4,5,12,8,13,10,8,9,6,8,10,10,7,10,6,5,10,11,9,7,5,6,3,7,4,2,3,3,6,4,3,4,3,5,6,5,9,6,7,5,7,6,3,3,2,1,3,3,2,3,1,1,2,2,,4,2,2,,2,1,2,,,,,,1,1,,,,,,,,,,,
2011/3/31,難波中２丁目,,女,,359,,8,5,,2,2,1,,,,,1,1,,,,2,1,3,,4,3,2,10,9,9,5,9,10,7,9,5,14,7,4,4,10,14,4,2,7,8,6,5,2,5,7,4,4,4,1,2,7,5,3,4,6,11,7,3,3,7,4,5,6,5,2,4,3,1,5,5,,4,6,1,2,,,3,1,2,2,,2,4,5,2,2,1,1,1,,,,,,,,,1,1,
2011/3/31,難波中２丁目,,計,461,713,,14,10,3,3,4,1,2,3,3,,2,1,2,1,1,2,2,4,2,4,5,2,14,14,21,13,22,20,15,18,11,22,17,14,11,20,20,9,12,18,17,13,10,8,8,14,8,6,7,4,8,11,8,7,7,11,17,12,12,9,14,9,12,12,8,5,6,4,4,8,7,3,5,7,3,4,,4,5,3,2,4,1,4,4,5,2,2,1,2,2,,,,,,,,,1,1,
2011/3/31,難波中３丁目,,男,,449,,6,6,,2,2,5,3,1,6,3,3,1,3,2,3,2,2,2,1,4,,4,5,11,12,10,14,15,14,16,14,11,10,7,12,10,11,10,8,4,8,6,10,7,2,5,5,7,2,10,2,1,5,5,3,3,4,7,1,4,13,5,9,7,11,5,4,3,2,5,1,7,2,3,3,1,,2,4,1,1,,2,1,2,1,1,,1,,,,,,,,,,,,,
2011/3/31,難波中３丁目,,女,,457,,2,1,2,4,3,2,2,2,1,1,1,1,1,1,3,,2,2,,2,8,8,11,8,18,12,15,9,12,8,8,16,13,7,9,8,8,11,11,7,7,4,8,9,3,10,8,5,4,3,2,4,7,3,4,3,3,5,4,8,4,5,3,4,7,1,4,,4,9,1,3,3,3,5,6,4,5,5,2,5,3,3,6,3,2,3,2,1,3,,,3,1,,,,,,,,
2011/3/31,難波中３丁目,,計,645,906,,8,7,2,6,5,7,5,3,7,4,4,2,4,3,6,2,4,4,1,6,8,12,16,19,30,22,29,24,26,24,22,27,23,14,21,18,19,21,19,11,15,10,18,16,5,15,13,12,6,13,4,5,12,8,7,6,7,12,5,12,17,10,12,11,18,6,8,3,6,14,2,10,5,6,8,7,4,7,9,3,6,3,5,7,5,3,4,2,2,3,,,3,1,,,,,,,,
