基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,海老江１丁目,,計,1781,3369,0,72,51,47,42,36,22,26,23,23,18,21,17,14,23,15,22,11,17,14,16,15,22,24,25,41,39,62,74,58,83,66,99,86,82,77,85,84,75,69,74,66,58,63,74,66,55,53,47,48,46,37,46,38,31,43,35,34,38,37,35,25,30,33,24,33,26,20,28,33,33,47,40,32,23,11,13,18,13,17,24,16,15,18,8,1,10,6,4,7,5,12,7,3,6,1,1,3,2,0,0,1,0
2020/3/31,海老江２丁目,,男,0,968,0,8,10,12,6,7,6,6,4,4,8,5,6,7,13,8,14,7,11,13,6,2,6,8,14,9,14,22,13,18,20,18,14,20,16,18,11,20,18,7,14,13,13,14,17,18,22,27,23,24,17,14,17,15,19,16,13,15,10,8,11,8,7,7,7,10,7,5,14,13,11,6,13,6,4,4,10,8,7,6,10,2,5,4,2,3,4,2,4,1,2,2,2,0,1,1,0,1,0,0,0,0,0
2020/3/31,海老江２丁目,,女,0,1082,0,7,7,8,6,8,5,4,3,6,6,10,5,11,10,7,9,10,9,4,14,9,11,13,19,17,19,21,19,22,23,13,17,16,17,18,15,19,13,16,14,15,14,15,16,23,19,22,21,19,14,13,14,11,13,12,11,14,12,13,9,7,5,14,10,9,9,9,12,14,6,9,12,18,7,6,6,8,9,5,5,8,9,12,8,7,7,9,11,8,12,3,5,6,2,2,2,5,2,1,2,1,0
2020/3/31,海老江２丁目,,計,1233,2050,0,15,17,20,12,15,11,10,7,10,14,15,11,18,23,15,23,17,20,17,20,11,17,21,33,26,33,43,32,40,43,31,31,36,33,36,26,39,31,23,28,28,27,29,33,41,41,49,44,43,31,27,31,26,32,28,24,29,22,21,20,15,12,21,17,19,16,14,26,27,17,15,25,24,11,10,16,16,16,11,15,10,14,16,10,10,11,11,15,9,14,5,7,6,3,3,2,6,2,1,2,1,0
2020/3/31,海老江３丁目,,男,0,728,0,5,3,2,4,4,3,11,4,14,6,8,13,4,5,13,2,10,8,11,8,10,7,12,11,11,10,6,14,7,10,12,5,6,10,8,8,7,12,10,13,7,9,12,13,13,13,19,16,19,12,7,4,8,9,5,9,6,7,7,9,8,7,10,9,4,7,7,7,7,14,12,10,9,10,1,7,8,8,6,6,5,2,6,2,4,4,4,2,2,1,1,2,1,2,2,0,0,0,0,0,0,0
2020/3/31,海老江３丁目,,女,0,776,0,4,5,6,3,6,5,5,5,6,10,5,5,7,9,1,7,8,7,4,2,8,6,7,7,10,8,13,10,6,14,7,7,5,16,15,10,11,9,8,8,9,12,11,11,12,13,12,24,15,14,8,13,14,5,10,12,4,13,5,7,6,5,3,5,4,7,9,7,9,14,5,10,15,8,6,12,10,9,8,12,14,8,7,8,7,7,5,8,5,10,2,4,4,1,0,0,1,2,0,0,0,0
2020/3/31,海老江３丁目,,計,770,1504,0,9,8,8,7,10,8,16,9,20,16,13,18,11,14,14,9,18,15,15,10,18,13,19,18,21,18,19,24,13,24,19,12,11,26,23,18,18,21,18,21,16,21,23,24,25,26,31,40,34,26,15,17,22,14,15,21,10,20,12,16,14,12,13,14,8,14,16,14,16,28,17,20,24,18,7,19,18,17,14,18,19,10,13,10,11,11,9,10,7,11,3,6,5,3,2,0,1,2,0,0,0,0
2020/3/31,海老江４丁目,,男,0,481,0,12,7,1,2,1,4,3,4,4,5,5,5,5,2,4,2,4,3,4,4,2,2,2,3,4,8,12,5,10,7,7,6,11,13,14,14,10,5,9,6,6,3,9,11,3,5,3,9,10,12,3,4,9,3,1,3,8,7,6,4,4,5,7,4,5,3,4,3,4,8,9,6,9,3,4,4,5,5,8,5,3,3,2,2,0,5,1,4,0,1,0,1,1,0,1,0,0,2,0,0,0,0
2020/3/31,海老江４丁目,,女,0,518,0,6,4,3,6,3,3,6,4,3,7,3,1,2,7,4,5,1,6,1,3,5,3,4,3,7,7,12,4,16,11,9,10,14,9,10,10,5,7,7,8,11,6,5,3,10,11,5,3,5,3,2,4,5,4,6,4,5,6,9,4,4,3,2,2,4,5,5,3,6,7,6,8,8,6,4,5,4,7,10,6,5,2,5,3,6,7,3,5,8,3,5,2,3,0,1,2,1,1,0,1,0,0
2020/3/31,海老江４丁目,,計,523,999,0,18,11,4,8,4,7,9,8,7,12,8,6,7,9,8,7,5,9,5,7,7,5,6,6,11,15,24,9,26,18,16,16,25,22,24,24,15,12,16,14,17,9,14,14,13,16,8,12,15,15,5,8,14,7,7,7,13,13,15,8,8,8,9,6,9,8,9,6,10,15,15,14,17,9,8,9,9,12,18,11,8,5,7,5,6,12,4,9,8,4,5,3,4,0,2,2,1,3,0,1,0,0
