X,Y,学校名,施設名,施設名かな,所在地,地区名
135.519464,34.65915314,五条,大阪市立五条小学校,おおさかしりつごじょうしょうがっこう,天王寺区小宮町9-28,天王寺区
135.5219609,34.65178108,聖和,大阪市立聖和小学校,おおさかしりつせいわしょうがっこう,天王寺区寺田町1-6-37,天王寺区
135.5145861,34.65632789,大江,大阪市立大江小学校,おおさかしりつおおえしょうがっこう,天王寺区四天王寺1-9-18,天王寺区
135.5171079,34.66323883,生魂,大阪市立生魂小学校,おおさかしりついくたましょうがっこう,天王寺区上汐4-1-25,天王寺区
135.5153279,34.65282489,天王寺,大阪市立天王寺小学校,おおさかしりつてんのうじしょうがっこう,天王寺区大道1-4-49,天王寺区
,,立葉,大阪市立立葉小学校,,,浪速区
135.490694,34.65823525,栄,大阪市立栄小学校,おおさかしりつさかえしょうがっこう,浪速区浪速東１－１－６１,浪速区
135.497133,34.66517208,難波元町,大阪市立難波元町小学校,おおさかしりつなんばもとまちしょうがっこう,浪速区元町1-5-30,浪速区
135.4965111,34.653494,大国,大阪市立大国小学校,おおさかしりつだいこくしょうがっこう,浪速区大国1-9-3,浪速区
135.5027473,34.65296086,恵美,大阪市立恵美小学校,おおさかしりつえみしょうがっこう,浪速区恵美須西2-13-9,浪速区
135.5082692,34.65814711,日東,大阪市立日東小学校,おおさかしりつにっとうしょうがっこう,浪速区日本橋東3-1-23,浪速区
135.5067971,34.66220294,日本橋,大阪市立日本橋小学校,おおさかしりつにっぽんばししょうがっこう,浪速区日本橋3-2-27,浪速区
135.4988079,34.65598317,敷津,大阪市立敷津小学校,おおさかしりつしきつしょうがっこう,浪速区敷津東3-9-32,浪速区
135.490589,34.66141897,塩草立葉,大阪市立塩草立葉小学校,おおさかしりつしおくさたてばしょうがっこう,浪速区塩草1-4-31,浪速区
135.503566,34.657936,浪速,大阪市立浪速小学校,おおさかしりつなみはやしょうがっこう,浪速区日本橋西1-7-6,浪速区
135.4655941,34.71024697,柏里,大阪市立柏里小学校,おおさかしりつかしわざとしょうがっこう,西淀川区柏里2丁目13番33号,西淀川区
135.4609392,34.71109692,野里,大阪市立野里小学校,おおさかしりつのざとしょうがっこう,西淀川区野里2丁目21番13号,西淀川区
135.4585218,34.70665617,姫里,大阪市立姫里小学校,おおさかしりつひめさとしょうがっこう,西淀川区姫里2丁目8番24号,西淀川区
135.4554112,34.70176689,姫島,大阪市立姫島小学校,おおさかしりつひめじましょうがっこう,西淀川区姫島1丁目10番4号,西淀川区
135.4418219,34.69814986,福,大阪市立福小学校,おおさかしりつふくしょうがっこう,西淀川区福町2丁目5番23号,西淀川区
135.4447999,34.70602217,大和田,大阪市立大和田小学校,おおさかしりつおおわだしょうがっこう,西淀川区大和田4丁目3番24号,西淀川区
135.4296031,34.70448608,川北,大阪市立川北小学校,おおさかしりつかわきたしょうがっこう,西淀川区中島1丁目11番20号,西淀川区
135.4471027,34.717125,佃,大阪市立佃小学校,おおさかしりつつくだしょうがっこう,西淀川区佃1丁目21番12号,西淀川区
135.4529918,34.72062492,香簑,大阪市立香簑小学校,おおさかしりつかみのしょうがっこう,西淀川区御幣島6丁目5番25号,西淀川区
135.4614668,34.714044,歌島,大阪市立歌島小学校,おおさかしりつうたじましょうがっこう,西淀川区歌島2丁目5番18号,西淀川区
135.4370667,34.70428892,出来島,大阪市立出来島小学校,おおさかしりつできじましょうがっこう,西淀川区出来島2丁目2番24号,西淀川区
135.4442171,34.71490317,佃西,大阪市立佃西小学校,おおさかしりつつくだにししょうがっこう,西淀川区佃2丁目15番30号,西淀川区
135.435381,34.71351383,佃南,大阪市立佃南小学校,おおさかしりつつくだみなみしょうがっこう,西淀川区佃5丁目12番12号,西淀川区
135.4564252,34.71720586,御幣島,大阪市立御幣島小学校,おおさかしりつみてじましょうがっこう,西淀川区御幣島3丁目5番5号,西淀川区
135.476772,34.72076703,神津,大阪市立神津小学校,おおさかしりつかみつしょうがっこう,淀川区十三元今里2-3-12,淀川区
135.4700219,34.72137803,田川,大阪市立田川小学校,おおさかしりつたがわしょうがっこう,淀川区田川2-9-37,淀川区
135.4583359,34.72886092,加島,大阪市立加島小学校,おおさかしりつかしましょうがっこう,淀川区加島1-60-28,淀川区
135.473439,34.72826694,三津屋,大阪市立三津屋小学校,おおさかしりつみつやしょうがっこう,淀川区三津屋中1-4-14,淀川区
135.4799029,34.73278592,新高,大阪市立新高小学校,おおさかしりつにいたかしょうがっこう,淀川区新高1-15-53,淀川区
135.480392,34.727886,野中,大阪市立野中小学校,おおさかしりつのなかしょうがっこう,淀川区野中北1-11-26,淀川区
135.4857172,34.72340589,十三,大阪市立十三小学校,おおさかしりつじゅうそうしょうがっこう,淀川区十三東4-3-6,淀川区
135.4921332,34.72662792,木川,大阪市立木川小学校,おおさかしりつきかわしょうがっこう,淀川区木川東3-7-32,淀川区
135.4878779,34.73842819,三国,大阪市立三国小学校,おおさかしりつみくにしょうがっこう,淀川区三国本町3-9-18,淀川区
135.496117,34.73946092,北中島,大阪市立北中島小学校,おおさかしりつきたなかじましょうがっこう,淀川区宮原5-3-4,淀川区
135.4942999,34.73007206,西中島,大阪市立西中島小学校,おおさかしりつにしなかじましょうがっこう,淀川区西中島7-14-25,淀川区
135.472161,34.71623892,塚本,大阪市立塚本小学校,おおさかしりつつかもとしょうがっこう,淀川区塚本3-5-6,淀川区
135.4945688,34.72345611,木川南,大阪市立木川南小学校,おおさかしりつきかわみなみしょうがっこう,淀川区木川東1-2-36,淀川区
135.4955753,34.74453103,東三国,大阪市立東三国小学校,おおさかしりつひがしみくにしょうがっこう,淀川区東三国6-3-24,淀川区
135.4914251,34.74475803,西三国,大阪市立西三国小学校,おおさかしりつにしみくにしょうがっこう,淀川区西三国1-21-28,淀川区
135.4999668,34.74529392,新東三国,大阪市立新東三国小学校,おおさかしりつしんひがしみくにしょうがっこう,淀川区東三国3-9-10,淀川区
135.4857671,34.73296717,宮原,大阪市立宮原小学校,おおさかしりつみやはらしょうがっこう,淀川区三国本町1-16-44,淀川区
135.5185282,34.73605594,東淡路,大阪市立東淡路小学校,おおさかしりつひがしあわじしょうがっこう,東淀川区東淡路3-3-32,東淀川区
135.5099111,34.73978608,西淡路,大阪市立西淡路小学校,おおさかしりつにしあわじしょうがっこう,東淀川区西淡路3-14-11,東淀川区
135.5230173,34.73957792,菅原,大阪市立菅原小学校,おおさかしりつすがはらしょうがっこう,東淀川区菅原6-3-25,東淀川区
135.5322967,34.748428,新庄,大阪市立新庄小学校,おおさかしりつしんじょうしょうがっこう,東淀川区上新庄2-20-5,東淀川区
135.5518862,34.75340606,大隅東,大阪市立大隅東小学校,おおさかしりつおおすみひがししょうがっこう,東淀川区瑞光5-8-19,東淀川区
135.5440534,34.741767,豊里,大阪市立豊里小学校,おおさかしりつとよさとしょうがっこう,東淀川区豊里5-14-60,東淀川区
135.5072828,34.73253603,啓発,大阪市立啓発小学校,おおさかしりつけいはつしょうがっこう,東淀川区東中島4-8-38,東淀川区
135.5395393,34.75487811,小松,大阪市立小松小学校,おおさかしりつこまつしょうがっこう,東淀川区小松3-18-15,東淀川区
135.5111939,34.742944,淡路,大阪市立淡路小学校,おおさかしりつあわじしょうがっこう,東淀川区西淡路5-5-32,東淀川区
135.5205561,34.74604386,下新庄,大阪市立下新庄小学校,おおさかしりつしもしんじょうしょうがっこう,東淀川区下新庄5-2-9,東淀川区
135.543889,34.76228083,井高野,大阪市立井高野小学校,おおさかしりついたかのしょうがっこう,東淀川区井高野1-28-17,東淀川区
135.5483579,34.74804417,大桐,大阪市立大桐小学校,おおさかしりつだいどうしょうがっこう,東淀川区大桐4-1-15,東淀川区
135.5357469,34.74568292,豊新,大阪市立豊新小学校,おおさかしりつほうしんしょうがっこう,東淀川区豊新4-17-26,東淀川区
135.5490747,34.76525006,東井高野,大阪市立東井高野小学校,おおさかしりつひがしいたかのしょうがっこう,東淀川区井高野2-8-28,東淀川区
135.5459189,34.75092203,大隅西,大阪市立大隅西小学校,おおさかしりつおおすみにししょうがっこう,東淀川区大隅2-3-18,東淀川区
135.5441167,34.73944394,豊里南,大阪市立豊里南小学校,おおさかしりつとよさとみなみしょうがっこう,東淀川区豊里5-12-41,東淀川区
135.5502753,34.74283586,大道南,大阪市立大道南小学校,おおさかしりつだいどうみなみしょうがっこう,東淀川区大道南1-23-6,東淀川区
135.5329919,34.66704211,東小橋,大阪市立東小橋小学校,おおさかしりつひがしおばせしょうがっこう,東成区東小橋3-10-37,東成区
135.5406173,34.66730808,大成,大阪市立大成小学校,おおさかしりつたいせいしょうがっこう,東成区大今里西3-2-62,東成区
135.537797,34.67252483,中道,大阪市立中道小学校,おおさかしりつなかみちしょうがっこう,東成区玉津1-7-39,東成区
135.5375249,34.679406,北中道,大阪市立北中道小学校,おおさかしりつきたなかみちしょうがっこう,東成区中道2-9-20,東成区
135.5392193,34.67648908,中本,大阪市立中本小学校,おおさかしりつなかもとしょうがっこう,東成区中本4-2-32,東成区
135.5456077,34.67928892,東中本,大阪市立東中本小学校,おおさかしりつひがしなかもとしょうがっこう,東成区東中本2-9-3,東成区
135.5448167,34.67187508,今里,大阪市立今里小学校,おおさかしりついまざとしょうがっこう,東成区大今里1-35-29,東成区
135.5465671,34.66633317,片江,大阪市立片江小学校,おおさかしりつかたえしょうがっこう,東成区大今里南2-13-2,東成区
135.5501473,34.66931917,神路,大阪市立神路小学校,おおさかしりつかみじしょうがっこう,東成区大今里4-6-19,東成区
135.5557609,34.67238594,深江,大阪市立深江小学校,おおさかしりつふかえしょうがっこう,東成区深江南1-4-6,東成区
135.5546169,34.67748308,宝栄,大阪市立宝栄小学校,おおさかしりつほうえいしょうがっこう,東成区神路1-15-48,東成区
135.534683,34.66399397,北鶴橋,大阪市立北鶴橋小学校,おおさかしりつきたつるはししょうがっこう,生野区鶴橋3丁目4番50号,生野区
135.5380719,34.65969217,御幸森,大阪市立御幸森小学校,おおさかしりつみゆきもりしょうがっこう,生野区桃谷5丁目5番37号,生野区
135.5325143,34.65904194,鶴橋,大阪市立鶴橋小学校,おおさかしりつつるはししょうがっこう,生野区桃谷2丁目20番32号,生野区
135.533314,34.65592514,東桃谷,大阪市立東桃谷小学校,おおさかしりつひがしももだにしょうがっこう,生野区勝山北3丁目7番21号,生野区
135.5274579,34.65389417,勝山,大阪市立勝山小学校,おおさかしりつかつやましょうがっこう,生野区勝山南1丁目3番5号,生野区
135.5326113,34.64480597,林寺,大阪市立林寺小学校,おおさかしりつはやしでらしょうがっこう,生野区林寺2丁目14番3号,生野区
135.5364893,34.64827494,生野,大阪市立生野小学校,おおさかしりついくのしょうがっこう,生野区舎利寺3丁目1番39号,生野区
135.544083,34.65969403,中川,大阪市立中川小学校,おおさかしりつなかがわしょうがっこう,生野区中川3丁目4番3号,生野区
135.5499721,34.65950597,東中川,大阪市立東中川小学校,おおさかしりつひがしなかがわしょうがっこう,生野区新今里7丁目14番37号,生野区
135.5548581,34.66065606,小路,大阪市立小路小学校,おおさかしりつしょうじしょうがっこう,生野区小路2丁目24番40号,生野区
135.5598437,34.65886903,東小路,大阪市立東小路小学校,おおさかしりつひがししょうじしょうがっこう,生野区小路東3丁目8番15号,生野区
135.5431688,34.648667,田島,大阪市立田島小学校,おおさかしりつたじましょうがっこう,生野区田島3丁目7番38号,生野区
135.5390893,34.65250603,舎利寺,大阪市立舎利寺小学校,おおさかしりつしゃりじしょうがっこう,生野区勝山南4丁目15番25号,生野区
135.5376751,34.64236417,生野南,大阪市立生野南小学校,おおさかしりついくのみなみしょうがっこう,生野区林寺6丁目6番7号,生野区
135.5515393,34.64601689,巽,大阪市立巽小学校,おおさかしりつたつみしょうがっこう,生野区巽中3丁目12番5号,生野区
135.5473863,34.65418603,北巽,大阪市立北巽小学校,おおさかしりつきたたつみしょうがっこう,生野区巽北1丁目30番29号,生野区
135.5287252,34.65133289,西生野,大阪市立西生野小学校,おおさかしりつにしいくのしょうがっこう,生野区生野西3丁目5番7号,生野区
135.5486779,34.63858083,巽南,大阪市立巽南小学校,おおさかしりつたつみみなみしょうがっこう,生野区巽南2丁目10番7号,生野区
135.5578562,34.649733,巽東,大阪市立巽東小学校,おおさかしりつたつみひがししょうがっこう,生野区巽東3丁目8番13号,生野区
135.5617187,34.72323903,清水,大阪市立清水小学校,おおさかしりつしみずしょうがっこう,旭区清水5-1-12,旭区
135.551356,34.72276686,古市,大阪市立古市小学校,おおさかしりつふるいちしょうがっこう,旭区森小路2-10-35,旭区
135.5459937,34.72715619,大宮,大阪市立大宮小学校,おおさかしりつおおみやしょうがっこう,旭区大宮4-9-16,旭区
135.5429141,34.71754403,高殿,大阪市立高殿小学校,おおさかしりつたかどのしょうがっこう,旭区高殿6-9-10,旭区
135.5416609,34.72282186,大宮西,大阪市立大宮西小学校,おおさかしりつおおみやにししょうがっこう,旭区中宮1-8-14,旭区
