基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2011/3/31,小路東３丁目,,女,,663,,4,4,8,6,4,3,5,3,3,6,7,9,2,6,7,1,11,7,9,9,7,10,4,8,7,8,4,7,5,7,7,6,4,4,8,11,8,5,8,4,5,9,4,9,5,11,10,8,7,7,7,6,9,12,11,4,10,13,8,7,9,15,9,8,8,4,10,9,9,6,11,9,7,7,14,11,5,10,10,7,5,7,13,7,8,5,5,2,3,,4,6,3,4,1,1,,,2,,1,
2011/3/31,小路東３丁目,,計,604,1302,,10,8,11,15,9,9,11,9,8,15,14,10,7,14,13,8,18,15,11,13,17,15,10,17,15,12,16,13,10,16,14,14,12,12,14,16,22,12,11,13,16,13,12,23,7,22,18,16,13,16,16,11,23,25,16,16,21,20,19,14,14,26,18,22,18,11,17,20,18,18,14,16,15,13,22,19,14,15,16,12,9,17,17,10,11,8,6,8,4,,7,7,4,4,1,1,,1,2,,1,
2011/3/31,小路東４丁目,,男,,538,,6,1,4,5,5,7,8,5,3,15,4,3,8,5,9,5,6,5,2,8,1,4,5,7,4,10,1,6,11,3,10,7,6,5,4,11,5,14,7,12,8,13,6,6,5,8,13,5,2,4,8,4,7,7,7,4,4,7,3,7,9,5,11,9,12,9,10,8,9,8,10,2,3,7,4,4,5,2,4,6,5,4,4,1,3,2,1,3,,1,,,,1,,,1,,,,,
2011/3/31,小路東４丁目,,女,,546,,6,2,2,6,4,6,4,7,4,5,9,6,3,7,4,6,3,5,4,2,7,6,3,5,9,4,3,8,9,4,6,4,6,11,11,7,10,4,15,5,10,11,10,11,10,10,6,8,4,6,6,5,6,7,4,3,4,5,8,3,6,10,11,8,7,8,7,4,5,10,4,6,4,8,4,2,1,6,6,13,7,2,4,4,3,4,6,2,4,1,1,1,,4,4,,,,,,,
2011/3/31,小路東４丁目,,計,544,1084,,12,3,6,11,9,13,12,12,7,20,13,9,11,12,13,11,9,10,6,10,8,10,8,12,13,14,4,14,20,7,16,11,12,16,15,18,15,18,22,17,18,24,16,17,15,18,19,13,6,10,14,9,13,14,11,7,8,12,11,10,15,15,22,17,19,17,17,12,14,18,14,8,7,15,8,6,6,8,10,19,12,6,8,5,6,6,7,5,4,2,1,1,,5,4,,1,,,,,
2011/3/31,小路東５丁目,,男,,483,,1,3,,4,2,2,3,5,2,2,2,3,3,2,3,5,7,4,7,7,7,4,6,3,4,2,7,9,5,2,3,3,5,3,4,2,6,7,15,5,4,3,9,4,5,4,4,8,6,4,7,3,4,5,6,7,5,7,8,11,4,7,13,11,6,6,9,9,13,11,6,9,6,11,7,5,11,3,11,6,8,6,2,3,3,5,1,1,4,1,1,,,1,,,,,,,,
2011/3/31,小路東５丁目,,女,,532,,2,,,4,1,,1,2,1,2,4,3,1,2,5,4,3,5,4,4,3,3,3,1,2,5,3,1,5,9,1,7,1,4,3,4,8,5,7,5,5,1,6,7,5,6,10,5,6,6,8,7,6,2,5,2,5,12,5,8,10,9,11,16,9,2,3,5,11,13,13,6,10,6,17,9,15,15,14,9,11,10,11,9,9,6,6,4,1,5,2,5,1,,2,1,,,,1,,
2011/3/31,小路東５丁目,,計,532,1015,,3,3,,8,3,2,4,7,3,4,6,6,4,4,8,9,10,9,11,11,10,7,9,4,6,7,10,10,10,11,4,10,6,7,7,6,14,12,22,10,9,4,15,11,10,10,14,13,12,10,15,10,10,7,11,9,10,19,13,19,14,16,24,27,15,8,12,14,24,24,19,15,16,17,24,14,26,18,25,15,19,16,13,12,12,11,7,5,5,6,3,5,1,1,2,1,,,,1,,
2011/3/31,小路東６丁目,,男,,419,,2,,1,4,1,,2,2,3,1,1,1,5,3,3,12,5,6,4,5,8,6,6,8,6,4,6,5,5,3,1,3,3,6,8,2,4,5,7,7,6,5,14,5,3,4,7,8,5,8,3,12,7,8,3,7,2,4,3,4,2,7,7,3,6,5,9,7,7,1,8,4,4,10,6,8,3,2,5,6,6,4,5,,2,,2,,1,1,2,,1,1,,,1,1,,,,
2011/3/31,小路東６丁目,,女,,469,,2,2,3,3,2,4,3,1,2,1,2,4,4,1,8,4,1,2,8,6,5,3,5,4,3,4,1,5,4,4,3,5,4,2,5,5,3,4,5,5,7,7,4,9,4,7,3,8,9,4,5,2,8,7,2,9,2,12,2,5,5,20,8,7,3,6,6,14,8,6,9,4,8,12,9,6,3,13,3,9,7,5,8,4,6,3,1,1,3,2,2,5,1,,2,1,,,,,1,
