基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2011/3/31,清水１丁目,,女,,855,,6,7,10,4,4,4,4,6,9,3,7,3,7,5,6,5,5,5,5,3,9,6,3,7,8,10,7,13,7,14,7,12,11,9,14,8,11,13,19,12,6,8,9,7,12,13,9,11,16,12,4,9,9,6,11,10,11,7,13,6,13,14,13,16,9,10,8,13,16,15,10,13,16,13,11,9,14,17,12,11,13,13,9,7,10,7,6,6,8,6,6,6,1,2,1,1,1,1,,1,,
2011/3/31,清水１丁目,,計,834,1642,,9,12,16,8,9,14,12,15,17,8,9,13,11,12,11,11,8,16,7,7,17,10,9,18,15,16,13,28,14,24,11,22,21,19,24,19,24,25,31,24,21,22,21,22,22,29,20,20,32,23,8,20,22,13,19,18,18,17,28,18,32,30,26,32,25,23,20,22,29,28,22,26,21,19,17,19,21,23,21,20,18,18,13,14,13,10,9,9,9,6,7,6,3,3,1,1,1,1,,2,,
2011/3/31,清水２丁目,,男,,1029,,5,10,6,6,7,3,8,7,9,13,8,9,9,11,11,9,11,8,7,8,8,12,11,14,11,9,10,11,10,15,12,12,10,13,13,15,17,10,17,17,17,16,10,13,13,17,10,17,18,18,17,12,12,12,11,15,12,11,11,15,16,27,25,20,9,14,13,15,12,16,15,11,12,12,12,17,11,6,9,3,8,8,10,3,8,5,3,7,3,1,1,1,,3,1,1,1,,1,,,
2011/3/31,清水２丁目,,女,,1126,,8,6,10,8,4,7,6,7,7,7,8,9,7,10,5,7,7,9,9,10,11,15,10,17,12,14,10,11,12,14,13,10,14,15,17,18,12,12,15,17,14,19,13,10,10,13,17,22,12,4,18,17,17,13,8,13,12,8,9,11,23,22,25,22,18,3,10,20,17,21,17,16,16,14,7,15,19,15,15,8,9,9,8,8,15,10,11,7,5,12,7,4,2,2,2,5,2,3,1,,1,
2011/3/31,清水２丁目,,計,1049,2155,,13,16,16,14,11,10,14,14,16,20,16,18,16,21,16,16,18,17,16,18,19,27,21,31,23,23,20,22,22,29,25,22,24,28,30,33,29,22,32,34,31,35,23,23,23,30,27,39,30,22,35,29,29,25,19,28,24,19,20,26,39,49,50,42,27,17,23,35,29,37,32,27,28,26,19,32,30,21,24,11,17,17,18,11,23,15,14,14,8,13,8,5,2,5,3,6,3,3,2,,1,
2011/3/31,清水３丁目,,男,,1129,,10,5,9,8,3,6,8,3,7,10,7,14,7,7,11,5,10,8,6,16,11,6,11,12,16,10,17,17,12,12,9,16,20,13,11,14,18,16,17,18,13,14,27,8,16,9,15,12,13,14,16,13,18,9,16,13,14,17,22,11,20,20,20,18,18,6,14,21,22,17,15,12,16,17,16,10,24,15,13,12,8,12,14,6,8,7,3,5,2,4,3,,,,2,1,1,,,,1,
2011/3/31,清水３丁目,,女,,1268,,8,10,9,10,14,6,8,8,10,10,7,5,7,10,9,8,11,8,12,11,8,11,13,18,14,9,18,5,20,14,12,12,12,17,12,14,14,19,13,17,8,16,14,19,10,24,9,17,13,15,14,12,5,12,8,6,12,13,14,21,18,28,21,23,11,12,23,15,20,21,20,17,19,17,22,21,23,17,16,18,11,23,13,19,12,9,22,11,11,5,5,5,8,7,3,2,2,,1,2,,
2011/3/31,清水３丁目,,計,1289,2397,,18,15,18,18,17,12,16,11,17,20,14,19,14,17,20,13,21,16,18,27,19,17,24,30,30,19,35,22,32,26,21,28,32,30,23,28,32,35,30,35,21,30,41,27,26,33,24,29,26,29,30,25,23,21,24,19,26,30,36,32,38,48,41,41,29,18,37,36,42,38,35,29,35,34,38,31,47,32,29,30,19,35,27,25,20,16,25,16,13,9,8,5,8,7,5,3,3,,1,2,1,
2011/3/31,清水４丁目,,男,,901,,7,7,12,10,6,3,5,7,11,8,7,7,10,9,7,7,13,12,10,12,7,12,7,8,16,8,13,4,5,18,11,17,14,11,20,14,13,13,14,19,20,18,19,13,12,16,13,8,9,13,13,11,6,9,7,7,12,10,17,9,14,13,15,12,10,12,15,13,14,8,14,8,7,8,16,5,9,5,6,10,6,5,5,,2,3,1,3,3,1,1,,,1,,,,,,,,
2011/3/31,清水４丁目,,女,,901,,4,10,9,8,4,12,13,11,11,8,10,9,9,10,4,10,3,10,10,8,6,6,6,5,10,8,14,8,13,16,10,13,11,13,10,13,10,13,15,11,15,15,12,16,14,11,14,10,14,11,14,10,12,8,9,9,12,8,4,14,12,14,15,14,8,5,10,10,9,13,13,12,9,14,12,18,12,7,9,11,1,9,8,12,4,5,4,5,1,,,1,2,1,,,2,2,,,1,
2011/3/31,清水４丁目,,計,952,1802,,11,17,21,18,10,15,18,18,22,16,17,16,19,19,11,17,16,22,20,20,13,18,13,13,26,16,27,12,18,34,21,30,25,24,30,27,23,26,29,30,35,33,31,29,26,27,27,18,23,24,27,21,18,17,16,16,24,18,21,23,26,27,30,26,18,17,25,23,23,21,27,20,16,22,28,23,21,12,15,21,7,14,13,12,6,8,5,8,4,1,1,1,2,2,,,2,2,,,1,
2011/3/31,清水５丁目,,男,,742,,5,3,2,8,2,9,2,7,6,5,6,5,7,6,6,7,8,6,4,7,5,7,11,10,18,11,8,12,16,9,10,7,10,5,7,10,12,7,13,13,13,14,13,9,11,7,12,8,12,11,5,5,11,8,7,9,2,17,8,16,20,12,13,24,16,7,11,5,12,14,8,7,8,11,8,5,5,9,7,6,4,4,3,5,2,2,2,,,1,,,,,,,,1,,,,
2011/3/31,清水５丁目,,女,,753,,6,4,2,6,4,7,8,3,5,3,5,7,11,8,8,5,4,7,7,9,8,6,13,12,14,7,12,7,7,13,7,10,15,6,9,16,10,11,10,5,8,10,8,6,8,7,8,4,7,5,8,9,12,8,7,9,11,11,15,7,13,14,12,14,17,7,6,16,13,8,7,10,12,14,9,15,10,5,8,7,6,6,6,3,4,4,5,2,6,,4,1,1,1,1,1,,,,,,
2011/3/31,清水５丁目,,計,758,1495,,11,7,4,14,6,16,10,10,11,8,11,12,18,14,14,12,12,13,11,16,13,13,24,22,32,18,20,19,23,22,17,17,25,11,16,26,22,18,23,18,21,24,21,15,19,14,20,12,19,16,13,14,23,16,14,18,13,28,23,23,33,26,25,38,33,14,17,21,25,22,15,17,20,25,17,20,15,14,15,13,10,10,9,8,6,6,7,2,6,1,4,1,1,1,1,1,,1,,,,
2011/3/31,総数,,男,,43988,,371,340,357,355,325,297,295,315,341,378,377,402,394,415,396,383,413,387,372,414,415,458,458,487,518,483,541,564,562,564,577,586,590,626,610,645,717,690,691,733,734,649,683,654,549,609,586,559,569,544,532,485,521,484,473,503,519,571,580,616,704,773,858,855,687,479,538,566,648,661,572,521,436,510,485,511,464,432,472,360,324,285,327,239,203,181,131,113,95,73,67,39,27,31,20,15,7,9,4,2,2,
2011/3/31,総数,,女,,47254,,343,359,329,331,305,303,324,322,358,331,347,360,389,340,375,361,348,367,365,373,441,425,469,536,532,550,540,558,567,557,544,555,561,597,599,599,643,699,673,697,669,610,661,648,533,642,586,595,557,520,504,509,508,449,505,483,475,498,522,654,695,762,851,850,637,474,623,696,708,721,666,628,578,644,694,651,635,613,568,528,567,493,421,419,388,325,357,302,253,203,203,152,121,92,77,73,69,34,33,19,31,
2011/3/31,総数,,計,45654,91242,,714,699,686,686,630,600,619,637,699,709,724,762,783,755,771,744,761,754,737,787,856,883,927,1023,1050,1033,1081,1122,1129,1121,1121,1141,1151,1223,1209,1244,1360,1389,1364,1430,1403,1259,1344,1302,1082,1251,1172,1154,1126,1064,1036,994,1029,933,978,986,994,1069,1102,1270,1399,1535,1709,1705,1324,953,1161,1262,1356,1382,1238,1149,1014,1154,1179,1162,1099,1045,1040,888,891,778,748,658,591,506,488,415,348,276,270,191,148,123,97,88,76,43,37,21,33,
